"cost_code","cost_code_description","cost_category"
"LAB-CARP","Carpentry and shuttering labour","Labor"
"LAB-REBR","Rebar fixing labour","Labor"
"LAB-MEP","MEP installation labour","Labor"
"LAB-FIN","Finishing labour","Labor"
"LAB-SAF","Safety and housekeeping labour","Labor"
"MAT-CEM","Cement and admixtures","Material"
"MAT-STEEL","Reinforcement and structural steel","Material"
"MAT-AGG","Aggregates and sand","Material"
"MAT-BLK","Blocks and masonry materials","Material"
"MAT-FIN","Finishes and fixtures","Material"
"EQP-CRANE","Tower and mobile crane","Equipment"
"EQP-PUMP","Concrete pump","Equipment"
"EQP-EARTH","Earthmoving equipment","Equipment"
"EQP-GEN","Generators and temporary power","Equipment"
"EQP-SCAF","Scaffolding equipment","Equipment"
"SUB-STRC","Structural works subcontract","Subcontract"
"SUB-MEP","MEP subcontract","Subcontract"
"SUB-FACADE","Facade subcontract","Subcontract"
"SUB-WTR","Waterproofing subcontract","Subcontract"
"SUB-EXT","External development subcontract","Subcontract"
"OVH-SITE","Site establishment","Overhead"
"OVH-QA","Quality assurance","Overhead"
"OVH-HSE","Health and safety","Overhead"
"OVH-UTIL","Temporary utilities","Overhead"
"OVH-ADM","Project administration","Overhead"
