report_id,event_date,split,state,naics,naics4,trade,narrative,employer_redacted,hospitalised,amputations,loss_of_eye,severity,inspected,event_code,event_title,cause_group,fall_band_osha,nature_code,nature,body_part_code,body_part,source_code,source,secondary_source_code,secondary_source
2015010029,2015-01-02,train,Texas,238110,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","Two employees in a scissor lift were wrecking forms, taking forms down, and removing the forms. They lost their grip on the form, which fell and hit an employee walking below on the shoulder, knocking him to the ground. He hit his head on the concrete, causing a wound to the head, a broken collarbone, and a broken rib.",0,1,0,0,Hospitalised,0,6232,Struck by object or equipment dropped by other person,Struck by or against object,,111,Fractures,899,"Multiple body parts, n.e.c.",659,"Structural elements, n.e.c.",,
2015010037,2015-01-02,train,Louisiana,237990,2379,Other heavy and civil,"On Friday, January 2, 2015, at 10:30 p.m., a crew of employees were changing out wooden decking boards on a platform off shore. One of the employees was walking the platform, slipped, and stepped on a protruding nail that entered the employee's right foot. First aid was applied to the employee, and the employee was later sent to a clinic for treatment. The employee was admitted to a hospital at 3:00 a.m. on January 5, 2015, from swelling on his foot due to the incident.",0,1,0,0,Hospitalised,0,6321,Stepped on object,Other,,133,"Puncture wounds, except gunshot wounds",530,"Foot (feet), unspecified",4212,"Nails, brads, tacks, nuts, bolts, washers",,
2015010043,2015-01-03,train,Ohio,238990,2389,"Other specialty trades (site prep, demolition)","While in the process of unloading pre-tied mats of rebar, one of the bundles fell off of the tying jig and pinned three workers underneath. Two of the workers were unharmed. A third employee suffered a fractured rib and a fractured vertebra.",0,1,0,0,Hospitalised,1,6233,Struck by object falling from vehicle or machinery-other than vehicle part,Struck by or against object,,111,Fractures,899,"Multiple body parts, n.e.c.",4132,"Bars, rods, reinforcing bar (rebar)",,
2015010068,2015-01-05,train,Texas,237120,2371,Utility systems,Employee was loading plastic pipes onto a utility trailer. He jumped off the trailer and broke his ankle.,0,1,0,0,Hospitalised,0,4421,Other jump to lower level less than 6 feet,Fall to lower level,Under 6 ft,111,Fractures,52,Ankle(s),483,Trailers,,
2015010073,2015-01-05,train,Texas,238290,2382,"Building equipment (electrical, plumbing, HVAC)","A fire suppression system inadvertently went off, causing a white cloud. Employees working on a scaffold, 24 feet above the ground, scrambled to avoid the cloud. While descending a ladder, an employee slipped and fell 10 to 12 feet.",0,1,0,0,Hospitalised,0,4333,Other fall to lower level 11 to 15 feet,Fall to lower level,11-15 ft,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,740,"Ladders, unspecified",,
2015010094,2015-01-05,train,Texas,237990,2379,Other heavy and civil,Employee's right foot was crushed and all of the toes had to be amputated at the hospital. He will require a few days of hospitalization and rehab afterwards. The job required pulling back and laying down pipe.,0,1,1,0,Amputation,0,9999,Nonclassifiable,Unknown (not usable),,1311,Amputations,532,"Toes(s), toenail(s)",9999,Nonclassifiable,,
2015010097,2015-01-05,train,Colorado,236210,2362,Non-residential building,"A worker was installing a retaining wall next to Highway 285 when a gust of wind displaced a tree next to the highway. The tree struck the worker, resulting in back, pelvis, and ankle injuries.",0,1,0,0,Hospitalised,1,6239,"Struck by falling object or equipment, n.e.c.",Struck by or against object,,1972,"Soreness, pain, hurt-nonspecified injury",899,"Multiple body parts, n.e.c.",5871,Trees,9272,"High winds, gusts, turbulence"
2015010101,2015-01-05,train,Massachusetts,238160,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","A roofer slipped on the ridge of a roof while securing roofing felt paper. When he slipped, his nail gun came into contact with his work boot and activated, firing a nail through the boot and into his big toe. The worker was admitted to Carney Hospital for several days during which several surgeries were performed.",0,1,0,0,Hospitalised,0,6242,Struck by discharged object or substance,Struck by or against object,,133,"Puncture wounds, except gunshot wounds",532,"Toes(s), toenail(s)",4212,"Nails, brads, tacks, nuts, bolts, washers",7235,Nail guns-powered
2015010109,2015-01-05,train,Colorado,238210,2382,"Building equipment (electrical, plumbing, HVAC)","On Monday, January 5, 2014, an employee slipped on ice while walking to his work truck at a job site. The employee sustained an injury to his neck and was admitted to the hospital that day.",0,1,0,0,Hospitalised,0,422,Fall on same level due to slipping,"Slip, trip or same-level fall",,1972,"Soreness, pain, hurt-nonspecified injury",20,"Neck, except internal location of diseases or disorders",562,"Bodily motion or position of injured, ill worker",9273,"Ice, sleet, snow"
2015010120,2015-01-06,train,New Jersey,238210,2382,"Building equipment (electrical, plumbing, HVAC)",A stack of 12 x 4 foot panels of sheet rock in the hallway of an under construction building fell on the employee and broke his leg.,0,1,0,0,Hospitalised,1,6239,"Struck by falling object or equipment, n.e.c.",Struck by or against object,,111,Fractures,510,"Leg(s), unspecified",4198,"Wallboard, drywall, sheetrock",,
