"project_id","project_name","region","contract_value","start_date","end_date"
"PRJ001","Mumbai Metro Viaduct 1","North","6069000000","2025-05-26","2026-06-24"
"PRJ002","Pune IT Park 1","South","4704000000","2025-01-17","2026-05-22"
"PRJ003","Delhi Residential Towers 1","East","2823000000","2025-04-03","2026-03-30"
"PRJ004","Noida Logistics Hub 1","West","4168000000","2024-12-24","2026-05-03"
"PRJ005","Gurugram Hospital Campus 1","Central","3186000000","2025-06-11","2026-08-11"
"PRJ006","Bengaluru Industrial Plant 1","North","6103000000","2025-06-19","2026-04-30"
"PRJ007","Hyderabad Data Centre 1","South","5438000000","2024-10-27","2026-04-03"
"PRJ008","Chennai Highway Package 1","East","2040000000","2025-05-31","2026-03-27"
"PRJ009","Ahmedabad Commercial Complex 1","West","3798000000","2025-04-26","2026-06-06"
"PRJ010","Kolkata Water Treatment Plant 1","Central","1836000000","2025-01-24","2026-08-14"
"PRJ011","Jaipur Metro Viaduct 2","North","4017000000","2025-05-05","2026-08-24"
"PRJ012","Kochi IT Park 2","South","1205000000","2025-01-09","2026-04-23"
"PRJ013","Lucknow Residential Towers 2","East","5283000000","2025-02-05","2026-02-08"
"PRJ014","Nagpur Logistics Hub 2","West","4087000000","2024-11-02","2026-05-08"
"PRJ015","Surat Hospital Campus 2","Central","5392000000","2025-05-07","2026-03-02"
"PRJ016","Mumbai Industrial Plant 2","North","5218000000","2025-02-20","2026-07-14"
"PRJ017","Pune Data Centre 2","South","6328000000","2024-10-06","2026-06-16"
"PRJ018","Delhi Highway Package 2","East","3065000000","2024-12-13","2025-11-08"
"PRJ019","Noida Commercial Complex 2","West","6400000000","2025-04-16","2026-03-06"
"PRJ020","Gurugram Water Treatment Plant 2","Central","3887000000","2025-02-06","2025-12-23"
"PRJ021","Bengaluru Metro Viaduct 3","North","6191000000","2025-05-15","2026-03-27"
"PRJ022","Hyderabad IT Park 3","South","3574000000","2024-11-17","2026-03-10"
"PRJ023","Chennai Residential Towers 3","East","2562000000","2024-10-20","2026-08-31"
"PRJ024","Ahmedabad Logistics Hub 3","West","4437000000","2025-03-17","2026-02-25"
"PRJ025","Kolkata Hospital Campus 3","Central","2863000000","2025-03-04","2026-03-16"
"PRJ026","Jaipur Industrial Plant 3","North","5079000000","2024-11-01","2026-08-22"
"PRJ027","Kochi Data Centre 3","South","4122000000","2024-11-26","2025-11-23"
"PRJ028","Lucknow Highway Package 3","East","5276000000","2025-06-25","2026-05-19"
"PRJ029","Nagpur Commercial Complex 3","West","3073000000","2024-12-19","2025-11-26"
"PRJ030","Surat Water Treatment Plant 3","Central","3775000000","2025-03-22","2026-07-04"
