"row_id","project_id","cost_code","period_month","budgeted_cost","earned_value","actual_cost","cpi","spi"
"COST000001","PRJ001","LAB-CARP","2024-10-01","11600000","11866878","12263504","0.97","1.02"
"COST000002","PRJ001","LAB-FIN","2024-11-01","5500000","5843153","4971499","1.18","1.06"
"COST000003","PRJ001","MAT-STEEL","2024-12-01","9800000","9476047","9334559","1.02","0.97"
"COST000004","PRJ001","MAT-FIN","2025-01-01","2700000","2792881","2805123","1","1.03"
"COST000005","PRJ001","EQP-EARTH","2025-02-01","1000000","1026734","1076581","0.95","1.03"
"COST000006","PRJ001","MAT-STEEL","2025-03-01","14400000","10625004","17082528","0.62","0.74"
"COST000007","PRJ001","SUB-WTR","2025-04-01","13400000","13486569","11809974","1.14","1.01"
"COST000008","PRJ001","OVH-QA","2025-05-01","11000000","10907484","12056149","0.9","0.99"
"COST000009","PRJ001","OVH-ADM","2025-06-01","17200000","16206390","18370911","0.88","0.94"
"COST000010","PRJ001","LAB-MEP","2025-07-01","2800000","2922441","2630896","1.11","1.04"
"COST000011","PRJ001","MAT-CEM","2025-08-01","1800000","1681099","1682209","1","0.93"
"COST000012","PRJ001","MAT-BLK","2025-09-01","11200000","10301879","10606150","0.97","0.92"
"COST000013","PRJ001","EQP-PUMP","2025-10-01","1600000","1567415","1686450","0.93","0.98"
"COST000014","PRJ001","EQP-SCAF","2025-11-01","8100000","8005193","8734693","0.92","0.99"
"COST000015","PRJ001","EQP-CRANE","2025-12-01","9200000","5812539","12190432","0.48","0.63"
"COST000016","PRJ001","OVH-SITE","2026-01-01","17200000","15464306","16253820","0.95","0.9"
"COST000017","PRJ001","OVH-UTIL","2026-02-01","3000000","2682374","3043542","0.88","0.89"
"COST000018","PRJ001","LAB-REBR","2026-03-01","10300000","9639326","9556617","1.01","0.94"
"COST000019","PRJ001","LAB-SAF","2026-04-01","16700000","14852056","15557820","0.95","0.89"
"COST000020","PRJ001","MAT-AGG","2026-05-01","14100000","13494727","12801573","1.05","0.96"
"COST000021","PRJ001","EQP-CRANE","2026-06-01","11800000","12105808","12840676","0.94","1.03"
"COST000022","PRJ001","EQP-GEN","2026-07-01","9900000","9260905","10014028","0.92","0.94"
"COST000023","PRJ001","SUB-MEP","2026-08-01","6400000","5876275","6762067","0.87","0.92"
"COST000024","PRJ001","SUB-STRC","2026-09-01","17800000","12417496","22701341","0.55","0.7"
"COST000025","PRJ001","OVH-HSE","2024-10-01","1500000","1446612","1450052","1","0.96"
"COST000026","PRJ001","LAB-CARP","2024-11-01","11600000","11877282","11859824","1","1.02"
"COST000027","PRJ001","LAB-FIN","2024-12-01","2800000","2966322","3028816","0.98","1.06"
"COST000028","PRJ001","MAT-STEEL","2025-01-01","7000000","7189967","6744441","1.07","1.03"
"COST000029","PRJ001","MAT-FIN","2025-02-01","17100000","17919796","16307767","1.1","1.05"
"COST000030","PRJ001","EQP-EARTH","2025-03-01","11000000","10775876","10882325","0.99","0.98"
"COST000031","PRJ001","SUB-STRC","2025-04-01","15700000","16323067","15593924","1.05","1.04"
"COST000032","PRJ001","SUB-WTR","2025-05-01","16200000","16806299","16085974","1.04","1.04"
"COST000033","PRJ001","MAT-STEEL","2025-06-01","17100000","12631817","22976511","0.55","0.74"
"COST000034","PRJ001","OVH-ADM","2025-07-01","12300000","11879920","11874409","1","0.97"
"COST000035","PRJ001","LAB-MEP","2025-08-01","1200000","1094449","1182568","0.93","0.91"
