"row_id","is_margin_risk","risk_reason"
"COST000001","N",""
"COST000002","N",""
"COST000003","N",""
"COST000004","N",""
"COST000005","N",""
"COST000006","Y","Repeated steel cost overrun with earned value lag."
"COST000007","N",""
"COST000008","N",""
"COST000009","N",""
"COST000010","N",""
"COST000011","N",""
"COST000012","N",""
"COST000013","N",""
"COST000014","N",""
"COST000015","Y","Crane cost escalation and low earned progress."
"COST000016","N",""
"COST000017","N",""
"COST000018","N",""
"COST000019","N",""
"COST000020","N",""
"COST000021","N",""
"COST000022","N",""
"COST000023","N",""
"COST000024","Y","Structural subcontract cost exceeds progress earned."
"COST000025","N",""
"COST000026","N",""
"COST000027","N",""
"COST000028","N",""
"COST000029","N",""
"COST000030","N",""
"COST000031","N",""
"COST000032","N",""
"COST000033","Y","Repeated steel cost overrun with earned value lag."
"COST000034","N",""
"COST000035","N",""
"COST000036","N",""
"COST000037","N",""
"COST000038","N",""
"COST000039","N",""
"COST000040","N",""
"COST000041","N",""
"COST000042","N",""
"COST000043","N",""
"COST000044","N",""
"COST000045","N",""
"COST000046","Y","Repeated steel cost overrun with earned value lag."
"COST000047","N",""
"COST000048","N",""
"COST000049","N",""
"COST000050","N",""
"COST000051","N",""
"COST000052","N",""
"COST000053","N",""
"COST000054","N",""
"COST000055","Y","Crane cost escalation and low earned progress."
"COST000056","N",""
"COST000057","N",""
"COST000058","N",""
"COST000059","N",""
"COST000060","N",""
"COST000061","N",""
"COST000062","N",""
"COST000063","N",""
"COST000064","Y","Structural subcontract cost exceeds progress earned."
"COST000065","N",""
"COST000066","N",""
"COST000067","N",""
"COST000068","N",""
"COST000069","N",""
"COST000070","N",""
"COST000071","N",""
"COST000072","N",""
"COST000073","Y","Repeated steel cost overrun with earned value lag."
"COST000074","N",""
"COST000075","N",""
"COST000076","N",""
"COST000077","N",""
"COST000078","N",""
"COST000079","N",""
"COST000080","N",""
"COST000081","N",""
"COST000082","N",""
"COST000083","N",""
"COST000084","N",""
"COST000085","N",""
"COST000086","Y","Repeated steel cost overrun with earned value lag."
"COST000087","N",""
"COST000088","N",""
"COST000089","N",""
"COST000090","N",""
"COST000091","N",""
"COST000092","N",""
"COST000093","N",""
"COST000094","N",""
"COST000095","Y","Crane cost escalation and low earned progress."
"COST000096","N",""
"COST000097","N",""
"COST000098","N",""
"COST000099","N",""
"COST000100","N",""
"COST000101","N",""
"COST000102","N",""
"COST000103","N",""
"COST000104","Y","Structural subcontract cost exceeds progress earned."
"COST000105","N",""
"COST000106","N",""
"COST000107","N",""
"COST000108","N",""
"COST000109","N",""
"COST000110","N",""
"COST000111","N",""
"COST000112","N",""
"COST000113","Y","Repeated steel cost overrun with earned value lag."
"COST000114","N",""
"COST000115","N",""
"COST000116","N",""
"COST000117","N",""
"COST000118","N",""
"COST000119","N",""
"COST000120","N",""
"COST000121","N",""
"COST000122","N",""
"COST000123","N",""
"COST000124","N",""
"COST000125","N",""
"COST000126","Y","Repeated steel cost overrun with earned value lag."
"COST000127","N",""
"COST000128","N",""
"COST000129","N",""
"COST000130","N",""
"COST000131","N",""
"COST000132","N",""
"COST000133","N",""
"COST000134","N",""
"COST000135","Y","Crane cost escalation and low earned progress."
"COST000136","N",""
"COST000137","N",""
"COST000138","N",""
"COST000139","N",""
"COST000140","N",""
"COST000141","N",""
"COST000142","N",""
"COST000143","N",""
"COST000144","Y","Structural subcontract cost exceeds progress earned."
"COST000145","N",""
"COST000146","N",""
"COST000147","N",""
"COST000148","N",""
"COST000149","N",""
"COST000150","N",""
"COST000151","N",""
"COST000152","N",""
"COST000153","Y","Repeated steel cost overrun with earned value lag."
"COST000154","N",""
"COST000155","N",""
"COST000156","N",""
"COST000157","N",""
"COST000158","N",""
"COST000159","N",""
"COST000160","N",""
"COST000161","N",""
"COST000162","N",""
"COST000163","N",""
"COST000164","N",""
"COST000165","N",""
"COST000166","Y","Repeated steel cost overrun with earned value lag."
"COST000167","N",""
"COST000168","N",""
"COST000169","N",""
"COST000170","N",""
"COST000171","N",""
"COST000172","N",""
"COST000173","N",""
"COST000174","N",""
"COST000175","Y","Crane cost escalation and low earned progress."
"COST000176","N",""
"COST000177","N",""
"COST000178","N",""
"COST000179","N",""
"COST000180","N",""
"COST000181","N",""
"COST000182","N",""
"COST000183","N",""
"COST000184","Y","Structural subcontract cost exceeds progress earned."
"COST000185","N",""
"COST000186","N",""
"COST000187","N",""
"COST000188","N",""
"COST000189","N",""
"COST000190","N",""
"COST000191","N",""
"COST000192","N",""
"COST000193","Y","Repeated steel cost overrun with earned value lag."
