"sheet_name","column_name","data_type","meaning"
"dim_project","project_id","Text","Unique project identifier."
"dim_project","project_name","Text","Construction project name."
"dim_project","region","Text","Operating region."
"dim_project","contract_value","Currency (INR)","Total contracted project value in INR."
"dim_project","start_date","Date","Project start date."
"dim_project","end_date","Date","Project end date."
"dim_cost_code","cost_code","Text","Unique cost code."
"dim_cost_code","cost_code_description","Text","Description of work or resource represented by the cost code."
"dim_cost_code","cost_category","Text","Cost classification: Labor, Material, Equipment, Subcontract or Overhead."
"fact_cost_value","row_id","Text","Unique primary key for the cost-value record."
"fact_cost_value","project_id","Text","Project identifier."
"fact_cost_value","cost_code","Text","Cost code identifier."
"fact_cost_value","period_month","Month","Accounting month."
"fact_cost_value","budgeted_cost","Currency (INR)","Budgeted cost for the month."
"fact_cost_value","earned_value","Currency (INR)","Value of work earned in the month."
"fact_cost_value","actual_cost","Currency (INR)","Actual cost incurred in the month."
"fact_cost_value","cpi","Decimal","Cost performance index: earned value divided by actual cost."
"fact_cost_value","spi","Decimal","Schedule performance index proxy: earned value divided by budgeted cost."
"answer_key","row_id","Text","Cost-value record primary key."
"answer_key","is_margin_risk","Text","Y when the record represents margin risk; otherwise N."
"answer_key","risk_reason","Text","Short reason for the margin-risk flag."
"data_dictionary","sheet_name","Text","Worksheet containing the documented column."
"data_dictionary","column_name","Text","Exact column name used in that worksheet."
"data_dictionary","data_type","Text","Expected logical data type and unit."
"data_dictionary","meaning","Text","Business meaning of the column."
